"";"titulo";"faixa_etaria";"sinopse"
"11";"Todas as Razões para Esquecer";"16";"Ao terminar um relacionamento, Antonio (Johnny Massaro) acreditava que não teria dificuldades em superar a ex-namorada. Contudo seus sentimentos não condizem com sua postura, pois à medida que o tempo passa a dor da perda se acentua e paliativos como calmantes, bebidas e aplicativos de pegação se mostram incapazes de dimuní-la."
"12";"Medo Profundo";"16";"De férias no México, duas irmãs estão prestes a passar pelos momentos de maior tensão em sua vida: presas em uma gaiola de tubarões a 47 metros de profundidade no oceano, eles terão que lutar contra o tempo para permanecerem vivas. Mas com apenas uma hora de oxigênio e com tubarões brancos rondando o local, as chances se tornam cada vez menores."
"13";"Daphne";"16";"Londres, Inglaterra. Aos 31 anos, Daphne (Emily Beecham) constantemente tem a sensação assustadora de que sua vida está parada, pois se sente jovem demais para se estabelecer e velha demais para ficar zoando por aí. Para distrair, ela mantém os dias e as noites ocupadao com pessoas, amigos e amantes. Certa noite, um assalto violento a força a confrontar esse limbo existencial, analisando de perto a pessoa que se tornou."
"14";"Em Pedaços";"16";"Após cumprir pena por tráfico de drogas, o turco Nuri Sekerci (Numan Acar) leva uma vida amorosa e tranquila com a esposa Katja Sekerci (Diane Kruger) e o filho Rocco na Alemanha. Certo dia ele e o menino estão no escritório e morrem vítimas de uma explosão criminosa, tragédia que deixa Katja sem chão. Ela batalha na justiça pela punição dos culpados, um casal neonazista, e, insatisfeita com o desenrolar do caso, decide pela vingança com as próprias mãos."
"15";"O Silêncio da Noite é Que Tem Sido Testemunha das Minhas Amarguras";"16";"A poesia da vida cotidiana das pessoas que vivem nas cidades de São José do Egito e Ouro Velho e Prata, que fazem fronteira com Pernambuco e Paraíba, respectivamente. Um povo cercado por histórias poéticas e de cantoria. Uma memória aos vates do sertão que enche o local com música e poesia."
"16";"Por Trás dos Seus Olhos";"16";"Gina (Blake Lively) perdeu a visão quando era criança, após um acidente grave. Acostumada à deficiência, ela vive com o marido James (Jason Clarke) na Tailândia, graças a uma promoção que ele recebeu. Gina é completamente dependente do marido, numa situação que agrada a ambos. Um dia, um médico decide testar uma nova cirurgia em Gina, que permitiria resgatar a visão de um dos olhos. Ao aceitar o procedimento, ela finalmente descobre um mundo novo, munida da vontade de viver várias experiências de que foi privada a vida inteira. Logo, a independência de Gina põe o casamento em risco."
"17";"Arábia";"16";"Em Ouro Preto, Minas Gerais, um jovem (Murilo Caliari) encontra por acaso o diário de um operário metalúrgico que sofreu um acidente e por suas memórias embarca numa jornada pelas condições de vida de trabalhadores marginalizados."
"18";"Tropykaos";"16";"Guima (Gabriel Pardal) é um poeta que está em crise. Em Salvador, ele sofre com as altas temperaturas do verão e acredita ter uma estranha doença: a ""ultra violência solar"", causada pelo calor. No submundo, bem distante dos cartões postais da cidade, Guima é usuário de crack e vive na marginalidade. Um dia, parte em uma jornada de autoconhecimento em busca de um ar-condicionado."
"19";"Aos Teus Olhos";"16";"Rubens (Daniel de Oliveira) é um professor de natação carismático e extrovertido, que dá aulas para pré-adolescentes em um clube. Querido por todos devido ao seu jeito brincalhão e parceiro, ele se vê em apuros quando um de seus alunos, Alex (Luís Felipe Melo), diz à mãe que o professor lhe deu um beijo na boca no vestiário. Alegando inocência, Rubens é acusado pelos pais da criança e passa a ter que lidar com um verdadeiro linchamento virtual, que tem início através de mensagens de WhatsApp e explode de vez quando chega ao Facebook."
"20";"Todo Clichê do Amor";"16";"Na cidade de São Paulo, uma prostituta deseja se tornar mãe; uma garçonete comprometida tem um admirador capaz de se tornar assassino para provar seu amor; e uma madrasta tenta cativar a enteada no velório do pai. Histórias um tanto quanto esquisitas sobre amor que revelam inusitadas formas de afeto quando colocadas em contato."
"21";"Gringo - Vivo ou Morto";"16";"Funcionário dedicado e marido exemplar, Harold Soyinka (David Oyelowo) leva uma vida pacata em Chicago. Enfrentando problemas financeiros, ele descobre que a empresa em que trabalha está negociando uma fusão que pode resultar em sua demissão. Aos poucos David passa a acreditar nesta possibilidade, devido a atos suspeitos de seu chefe e ""melhor amigo"" Richard Rusk (Joel Edgerton). Quando Richard e sua sócia Elaine Markinson (Charlize Theron) resolvem acompanhá-lo em uma viagem de trabalho corriqueira ao México, David vê a situação como a oportunidade ideal para fingir ter sido sequestrado e, desta forma, pedir um polpudo sequestro."
"22";"Os Fantasmas de Ismael";"16";"Ismaël (Mathieu Amalric) é um cineasta que, após um longo tempo, voltou a amar. Traumatizado devido ao súbito desaparecimento de sua esposa, Carlotta (Marion Cotillard), ocorrido há 21 anos, ele enfim consegue ter um relacionamento duradouro com a astrofísica Sylvia (Charlotte Gainsbourg). Entretanto, a reaparição de Carlotta abala não só o relacionamento, como a própria estabilidade alcançada por Ismaël."
"23";"Deadpool 2";"16";"Quando o super soldado Cable (Josh Brolin) chega em uma missão para assassinar o jovem mutante Russel (Julian Dennison), o mercenário Deadpool (Ryan Reynolds) precisa aprender o que é ser herói de verdade para salvá-lo. Para isso, ele recruta seu velho amigo Colossus e forma o novo grupo X-Force, sempre com o apoio do fiel escudeiro Dopinder (Karan Soni)."
"24";"Entre-Laços";"16";"Tomo (Rinka Kakihara), de apenas 11 anos, é abandonada pela mãe e passa a viver com o tio, Makio (Kenta Kiritani), e sua namorada, Rinko (Toma Ikuta). Inicialmente com pensamentos confusos após descobrir que Rinko é uma mulher transexual, Tomo vai aos poucos descobrindo o verdadeiro sentido de família."
"25";"Uma Escala em Paris";"16";"Gina (Lindsay Burdge), uma comissária de bordo americana, que depois de uma temporada sozinha e deprimida pelo suicídio de seu namorado, acaba conhecendo e se apaixonando por Jérôme (Damien Bonnard), um garçom parisiense. E, quando finalmente decide ficar na França para viver este amor, surge Clémence (Esther Garrel), um antigo amor de Jérôme que transformará a vida de Gina em uma rede de desilusões e loucura."
"26";"Paraíso Perdido";"16";"Paraíso Perdido é um clube noturno gerenciado por José (Erasmo Carlos) e movimentado por apresentações musicais de seus herdeiros. O policial Odair (Lee Taylor) se aproxima da família ao ser contratado para fazer a segurança do jovem talento Ímã (Jaloo), neto de José e alvo frequente de homofóbicos, e aos poucos o laço entre o agente e o clã de artistas românticos vai se revelando mais e mais forte - com nós surpreendentes."
"27";"Vingança";"16";"Três homens casados e ricos fazem anualmente uma espécie de caçada no deserto. Desta vez, um dos empresários decide trazer sua amante (Matilda Lutz). Quando ela é abandonada para morrer devido a uma série de acontecimentos, eles terão que lidar com as consequências de uma mulher que busca vingança."
"28";"Os Estranhos - Caçada Noturna";"16";"Seguindo os acontecimentos do primeiro filme, uma nova família receberá a terrível visita de três psicopatas - que têm como único objetivo transformar suas vidas em um inferno na Terra."
"29";"A Morte de Stalin";"16";"União Soviética, 1953. Após a inesperada morte do ícone Josef Stalin (Adrian McLoughlin), o alto escalão do comitê do Partido Comunista se vê em momentos caóticos para decidir quem será o sucessor do líder soviético e quais rumos a nação seguirá a partir de então, uma enorme disputa que envolve até os complexos herdeiros do político."
"30";"Um Dia para Viver";"16";"Um assassino (Ethan Hawke) ganha uma segunda chance quando seu empregador o traz de volta à vida temporariamente, logo após ter sido morto no trabalho. Ele ganha então 24 horas para realizar sua missão e se redimir."
"31";"Em 97 Era Assim";"16";"Quatro garotos de 15 anos só pensam em uma coisa: perder a virgindade. Sem dinheiro para contratarem uma prostituta, os meninos fazem tudo para conseguirem economizar uma grana, enquanto encaram os compromissos do colégio e as tensões da adolescência. Mas, nessa jornada, o que eles realmente vão descobrir é o valor da verdadeira amizade."
"32";"Hereditário";"16";"Após a morte da reclusa avó, a família Graham começa a desvendar algumas coisas. Mesmo após a partida da matriarca, ela permanece como se fosse um sombra sobre a família, especialmente sobre a solitária neta adolescente, Charlie, por quem ela sempre manteve uma fascinação não usual. Com um crescente terror tomando conta da casa, a família explora lugares mais escuros para escapar do infeliz destino que herdaram."
"33";"Canastra Suja";"16";"Batista (Marco Ricca) e Maria (Adriana Esteves) formam um casal que, aparentemente, é muito feliz em seu casamento. No entanto, a verdade é que as aparências enganam e muito; no fundo, Batista, um alcóolatra inveterado e Maria, que tem um caso com o namorado de sua filha mais velha, Emília (Bianca Bin), representam uma família que está à beira da ruína."
"34";"Tungstênio";"16";"Salvador, Bahia. O uso de explosivos para pescar na orla atrai a atenção de Ney (José Dumont), um sargento aposentado que não suporta a falta de ordem e respeito ao seu antigo posto. Ao lado de Caju (Wesley Guimarães), ele busca ajuda para prender os pescadores, mas não consegue apoio do exército por ser este um crime ambiental. Após brigar com Ney, Caju liga de um telefone público para o celular do policial Richard (Fabrício Boliveira), que logo corre para o local de forma a prender os meliantes. Paralelamente, Keila (Samira Carvalho), a esposa de Richard, planeja deixá-lo."
"35";"Rei";"16";"Antoine de Tounens (Rodrigo Lisboa) foi um aventureiro francês corajoso, que decidiu viajar pelo continente sul-americano em 1860 e fundar sua própria monarquia. Com o aval dos índios do sul do Chile, criou o Reino da Araucania e da Patagônia, declarando-se rei do local. Mas o governo chileno decide tomar as devidas providências para impedir o reinado deste estrangeiro em suas terras. Baseado numa história real."
"36";"Sicario - Dia do Soldado";"16";"O oficial da CIA Matt Graver (Josh Brolin) volta a contactar seu sicário de confiança, Alejandro Gillick (Benicio Del Toro), desta vez para sequestrar a filha caçula (Isabella Moner) de um barão das drogas mexicano. Os famosos cartéis agora são considerados células terroristas e o objetivo da missão, orientada secretamente pelo alto escalão do governo, é fazer eclodir uma guerra entre os grupos rivais."
"37";"O Nó do Diabo";"16";"Há dois séculos, no período da escravidão, uma fazenda canavieira era palco de horrores. Anos depois, o passado cruel permanece marcado nas paredes do local, mesmo que ninguém perceba. Eventos estranhos começam a se desenvolver e a morte torna-se evidente. Cinco contos de horror ilustram a narrativa."
"38";"Oh Lucy!";"16";"Setsuko Kawashima (Shinobu Terajima) é uma mulher solitária que trabalha em um monótomo escritório em Tóquio. Quando vê que precisa sair da rotina, ela decide estudar inglês, e a partir daí, sua vida nunca mais é a mesma. Durante as aulas Setsuko descobre sua outra identidade, o alter ego ""Lucy"". Enquanto experimenta desejos e situações antes impensáveis, ela precisa lidar com o desaparecimento do seu instrutor John (Josh Hartnett)."
"39";"A Noite Devorou o Mundo";"16";"Após um noite de festa com muita bebida, Sam (Anders Danielsen Lie) acorda completamente sozinho. Ainda confuso ele descobre um terrível acontecimento: a cidade de Paris está tomada por zumbis famintos. Rapidamente ele começa a proteger o prédio em que vive e elabora estratégias para conseguir manter-se vivo em meio a catástrofe. No entanto, ele ainda não tem certeza se é o único sobrevivente neste cenário hostil."
"40";"Nos Vemos no Paraíso";"16";"Em novembro de 1918, alguns dias antes do Armistício de Compiègne, Édouard Péricourt (Nahuel Pérez Biscayart) salva a vida de Albert Maillard (Albert Dupontel). Os soldados franceses não têm nada em comum, a não ser a guerra e o ódio pelo vil Tenente Preadelle (Laurent Lafitte), e são obrigados a se unir para sobreviver - uma firme parceria marcada por farsas e lealdade."
"41";"A Festa";"16";"Janet (Kristin Scott Thomas), uma política de esquerda, convida os amigos do partido para comemorar a sua escolha para o cargo de Ministra da Saúde britânica, coroando um objetivo que ela perseguia há anos. Os amigos - e penetras - também têm suas revelações, como uma gravidez inesperada. Mas é a surpresa revelada pelo marido de Janet, o intelectual Bill (Timothy Spall), que transforma completamente o clima da celebração."
"42";"Alguma Coisa Assim";"16";"Enquanto buscam diversão, os jovens Caio (André Antunes) e Mari (Caroline Abras), vagam pela noite de São Paulo. Nesse contexto, entre o som e os silêncios, os dois vão se conhecendo ainda mais e ao longo de uma década se reencontram em três momentos muito importantes de suas vidas."
"43";"O Nome da Morte";"16";"Júlio Santana (Marco Pigossi) é um pai de família, um homem caridoso, um exemplo para sua família e um orgulho para os seus pais. No entanto, ele esconde outra identidade sob essa fachada: na verdade, ele é um assassino profissional responsável por 492 mortes. Entre a cruz e a espada, entre a lei e o crime, Júlio precisa descobrir uma forma de enfrentar os seus demônios."
"44";"Querido Embaixador";"16";"Luiz Martins de Souza Dantas (Norival Rizzo) era o embaixador do Brasil na Itália até 1922, quando é transferido para Paris. Cercado de belas moças, o homem vive num cotidiano de luxo em reuniões que incluíam pessoas da política e da cultura do país. Nesse contexto, começa a Segunda Guerra Mundial e o embaixador passa a viver numa realidade intensa com tomada de decisões que realmente podem colocar a vida de brasileiros em risco."
"45";"Você Nunca Esteve Realmente Aqui";"16";"Um homem, veterano de guerra, ganha a vida resgatando mulheres presas em cativeiros trabalhando como escravas sexuais. Após uma missão mal sucedida em um bordel de Manhattan, no entanto, a opinião pública se torna contra ele e uma onda de violência se abate na região."
"46";"Tesnota";"16";"1998, Nalchik, sul da Rússia. Uma família experimenta momentos de explosiva tensão: o filho caçula não volta para casa junto com a noiva, desaparecidos sem nenhuma explicação. No dia seguinte o recebimento de uma carta pedindo alto resgate confirma o sequestro e a família começa então a abrir mão de todos os bens materiais para tê-los de volta."
"47";"O Protetor 2";"16";"Massachusetts, Estados Unidos. Robert McCall (Denzel Washington) agora trabalha como motorista, ajudando pessoas que enfrentam dificuldades decorrentes de injustiças. Quando sua amiga Susan Plummer (Melissa Leo) é morta durante a investigação de um assassinato na Bélgica, ele decide sair do anonimato e encontrar seu antigo parceiro, Dave (Pedro Pascal), no intuito de encontrar pistas sobre o autor do crime."
"48";"Te Peguei!";"16";"Desde a primeira série na escola um grupo de cinco amigos têm um hábito curioso, que realizam pelo menos uma vez ao ano: brincar enlouquecidamente de pega-pega, correndo em uma partida alucinante para ser o último homem de pé ao final da brincadeira, arriscando seus empregos e relacionamentos. Neste ano, que coincide com o casamento do jogador invicto da trupe, eles farão de tudo para derrubá-lo no momento de vulnerabilidade."
"49";"Meu Ex É um Espião";"16";"Audrey (Mila Kunis) está desiludida com o término do namoro com Drew (Justin Theroux), que a dispensou através de uma mensagem de celular. O que ela não sabe é que o agora ex-namorado é também um agente secreto, perseguido devido a um pen drive com informações sigilosas. Após receber o apoio moral de sua melhor amiga, Morgan (Kate McKinnon), Audrey é surpreendida com o súbito reaparecimento de Drew, após ameaçar queimar seus pertences. Logo ambas estão também envolvidas no mundo da espionagem, precisando ir às pressas para Viena, na Áustria."
"50";"Histórias que Nosso Cinema (Não) Contava";"16";"Uma releitura histórica sobre o período da ditadura militar no Brasil retratada através de imagens e sons exclusivos das pornochanchadas, o gênero mais visto e produzido no país durante a década de 70. A violência do Estado, a luta armada e modernização brasileira são exemplos de situações históricas que podem ser visualizadas por meio dessas obras cinematográficas."
"51";"Nico, 1988";"16";"Christa Päffgen, mais conhecida pelo seu nome artístico Nico, fez muito sucesso no final da década de 60 ao lado da banda Velvet Underground. Vinte anos depois, a cantora tenta desenvolver a sua carreira solo ao mesmo tempo em que precisa lidar com os fantasmas do passado: o vício em drogas, a relação problemática com o filho e a depressão que a acompanhou durante toda a vida."
"52";"Marvin";"16";"Martin Clement (Finnegan Oldfield), nascido Marvin Bijou, escapou da aldeia onde morava com o pai tirano e a mãe que o renunciava. Apaixonado por teatro, ele junta aliados para conseguir fazer com que seus sonhos virem realidade. Desde a diretora de sua escola até Isabelle Huppert, ele arrisca tudo para conseguir produzir seu show e alcançar o sucesso."
"53";"Hotel Artemis";"16";"Num futuro próximo, no subsolo de um hospital em Los Angeles, os criminosos mais sinistros da cidade recebem cuidados especiais. A enfermeira (Jodie Foster), que controla o lugar, acaba descobrindo que um de seus pacientes está lá para cometer um assassinato."
"54";"O Homem que Parou o Tempo";"16";"Após dedicar anos de sua vida ao estudo de física quântica, relatividade e fenômenos atemporais, João (Gabriel Pardal) decide, finalmente, botar seu ousado plano em prática: conseguir parar o tempo. Mas para realizar os experimentos que precisa, ele terá que embarcar em uma solitária viagem sem volta, que o isolará de sua família e amigos, trazendo graves consequências a seu estado mental."
"55";"Um Pequeno Favor";"16";"Stephanie (Anna Kendrick) é uma jovem mãe que divide o tempo entre a criação do filho e a dedicação ao vlog de culinária. Ela é uma pessoa solitária, que se torna fascinada pela mãe de um colega de escola de seu filho. Esta mulher, Emily (Blake Lively) é poderosa, destemida, e leva uma vida de luxo ao lado do marido. Um dia, Emily desaparece. A polícia tem dificuldades para lidar com o caso, mas Stephanie parte em busca de respostas por conta própria. No caminho, descobre que a nova amiga não era nada do que ela pensava."
"56";"Crimes em Happytime";"16";"Phil Phillips é um ex-policial que agora trabalha como detetive particular. Após seu irmão ser assassinado, ele descobre que o responsável é um serial killer que pretende eliminar todos os integrantes do ""The Happytime Gang"", série de TV de grande sucesso nos anos 1980. Para investigar o caso, Phil é obrigado a trabalhar com sua ex-parceira Connie Edwards (Melissa McCarthy), responsável por sua expulsão da polícia, anos atrás."
"57";"A Moça do Calendário";"16";"Sem emprego fixo, o quarentão Inácio (André Guerreiro Lopes) trabalha como dublê de dançarino à noite e mecânico durante o dia. Quando não está nas pistas ou operando veículos, seus pensamentos galvizam para um relacionamento platônico para a bela garota que estampa o calendário da oficina."
"58";"Papillon";"16";"Henri Charrière (Charlie Hunnam), chamado de Papillon, pequeno bandido do subúrbio de Paris da década de 30, é condenado à prisão perpétua por um crime que não cometeu. Enviado para a Ilha do Diabo, na Guiana Francesa, ele conhece Louis Dega (Rami Malek), homem que Papillon promete ajudar em troca de auxílio para escapar da prisão."
"59";"Legalize Já - Amizade Nunca Morre";"16";"Skunk (Ícaro Silva) é um jovem músico, revoltado com a opressão e o preconceito diários sofrido pelas comunidades de baixa renda, que busca expor sua insatisfação através da música. Um dia, ao fugir da polícia, ele literalmente esbarra em Marcelo (Renato Góes), um vendedor de camisas de bandas de heavy metal. O gosto pelo mesmo estilo musical os aproxima, assim como a habilidade de Marcelo em compor letras de forte cunho social e questionador. Impulsionado por Skunk, ele adentra o universo da música e, juntos, formam a banda Planet Hemp."
"60";"A Cabeça de Gumercindo Saraiva";"16";"No fim do século XIX, a Revolução Federalista marcou o sul do Brasil. Na época, o caudilho revolucionário Gumercindo Saraiva foi assassinado pelos legalistas. O filho dele, Francisco Saraiva, parte com cinco cavaleiros para resgatar a cabeça do pai, cortada pelo Major Ramiro de Oliveira."
"61";"Meu Anjo";"16";"Marlène (Marion Cotillard) tem uma filha de oito anos a quem não dispensa muita atenção, mais interessada em bebedeiras, festas e homens. Certa noite ela vai a uma celebração numa boate acompanhada da menina, mas a manda sozinha para casa, permanecendo com um novo pretendente. Os dias passam e Marlène não vai ao reencontro da menina, deixando-a entregue à sua própria sorte e sem qualquer notícia da mãe."
"62";"O Doutrinador";"16";"Um vigilante mascarado surge para atacar a impunidade que permite que políticos e donos de empreiteiras enriqueçam às custas da miséria e do trabalho da população brasileira. A história do homem por trás do disfarce de ""Doutrinador"" envolve uma jornada pessoal de vingança na qual um agente traumatizado decide fazer justiça com as próprias mãos."
"63";"Operação Overlord";"16";"Uma tropa de paraquedistas americanos é lançada atrás das linhas inimigas para uma missão crucial. Mas, quando se aproximam do alvo, percebem que não é só uma simples operação militar e tem mais coisas acontecendo no lugar, que está ocupado por nazistas."
"64";"Millennium - A Garota na Teia de Aranha";"16";"Estocolmo, Suécia. Graças às matérias escritas por Mikael Blomkvist (Sverrir Gudnason) para a revista Millennium, Lisbeth Salander (Claire Foy) ficou conhecida como uma espécie de anti-heroína, que ataca homens que agridem mulheres. Apesar da fama repentina, ela se mantém distante da mídia em geral e levando uma vida às escondidas. Um dia, Lisbeth é contratada por Balder (Stephen Merchant) para recuperar um programa de computador chamado Firefall, que dá ao usuário acesso a um imenso arsenal bélico. Balder criou o programa para o governo dos Estados Unidos, mas agora deseja deletá-lo por considerá-lo perigoso demais. Lisbeth aceita a tarefa e consegue roubá-lo da Agência de Segurança Nacional, mas não esperava que um outro grupo, os Aranhas, também estivesse interessado nele."
"65";"Museu";"16";"Na manhã do Natal de 1985, os estudantes Juan Núñez (Gael García Bernal) e Benjamín Wilson (Leonardo Ortizgris) invadem o Museu Nacional de Antropologia na Cidade do México para roubar 140 peças pré-hispânicas de suas vitrines, como a máscara do Rei Pakal. Ao perceberem a gravidade de suas ações, decidem fugir. Enquanto isso, a polícia não suspeita que os autores do crime poderiam ser jovens inexperientes que vivem nos subúrbios da classe média."
"66";"Blitz";"16";"Depois de ter sido acusado do assassinato de uma jovem durante uma Blitz em uma escola, a vida do Cabo Rosinha (Rui Ricardo Dias) começa a desmoronar completamente. Enquanto habitantes da cidade onde mora se revoltam contra ele, sua esposa corre contra o tempo para descobrir o que realmente aconteceu antes que a situação traga consequências fatais."
"67";"O Grande Circo Místico";"16";"Em meio ao universo de uma tradicional família austríaca, que é dona do Grande Circo Knieps, nasceu um improvável romance entre um aristocrata e uma acrobata. Este é o retrato dos 100 anos de existência do Grande Circo e das cinco gerações do clã à frente do espetáculo e suas histórias fantásticas."
"68";"Refém do Jogo";"16";"De tempos em tempos, Michael Knox (Dave Bautista) viaja a Londres para rever a esposa e filha de um grande amigo, que faleceu quando ambos estavam servindo no Afeganistão. Numa destas visitas, Knox leva a adolescente Danni (Lara Peake) para um importante jogo do West Ham, que pode levá-lo à decisão da Liga Europa. O que ele não esperava era que um grupo de dissidentes russos teria um plano de ação em pleno jogo de futebol, tornando todos os presentes reféns enquanto busca seu antigo líder, até então considerado morto."
"69";"Sequestro Relâmpago";"16";"Matheus (Sidney Santiago) e Japonês (Daniel Rocha) são dois jovens que não são amigos, mas que se juntam para realizar uma série de sequestros na noite de São Paulo. A primeira vítima é Isabel (Marina Ruy Barbosa), uma jovem de 21 anso que está saindo de um bar. Os três estão nervosos. Quando encontram o primeiro caixa eletrônico às 22h, ele está quebrado. Os dois percebem que não conseguirão encontrar outro caixa-eletrônico antes da manhã do dia seguinte. Mantendo Isabel refém, eles dirigem de um lado pro outro pela noite, decidindo o que fazer com ela."
"70";"Parque do Inferno";"16";"Durante a noite de Halloween, um grupo de amigos começa a ser perseguido por um assassino mascarado em um parque de diversões temático. O mais terrível é que todas as atrocidades cometidas pelo criminoso são praticadas na frente do público alienado presente no local. Eles acreditam que tudo faz parte do ""show"", ignorando os pedidos de socorro dos jovens."
"71";"O Segredo de Davi";"16";"Davi (Nicolas Prattes) é um jovem voyeur, que adora filmar os outros sem ser percebido. Um dia conhece Jonatas (André Hendges), mais velho que ele, que está na mesma turma da faculdade por cursá-la como eletiva, para o mestrado. Davi sente um estranho fascínio pelo novo colega e, após uma conversa macabra, decide ele mesmo eliminar pessoas que considera dispensáveis. Sua primeira vítima é uma vizinha (Neusa Maria Faro), que mal fala com as pessoas. Ao matá-la, Davi é surpreendido com o súbito reaparecimento dela, revelando que há algo por trás dos atos do agora serial killer."
"72";"A Voz do Silêncio";"16";"O passar dos anos é impiedoso para todos. No filme, sete personagens aparentemente comuns conduzem suas vidas buscando, cada um, aquilo que acredita lhe trazer satisfação pessoal. Mas, mesmo com vidas distintas e distantes, eles se aproximam pela maneira como orientam suas existências com base em preocupações mundanas."
"73";"As Viúvas";"16";"Um assalto frustrado faz com que Harry Rawlins (Liam Neeson) e sua gangue sejam mortos pela polícia e o dinheiro que roubaram seja destruído pelas chamas. Isto faz com que a viúva de Harry, Veronica (Viola Davis), seja cobrada para que a quantia roubada seja devolvida. Pressionada, ela encontra um caderno de anotações de Harry que prevê em detalhes aquele que seria seu próximo golpe. Veronica então decide realizar o roubo, tendo a ajuda das demais viúvas dos mortos no assalto frustrado."
"74";"Rasga Coração";"16";"Manguari Pistolão (Marco Ricca) é ao mesmo tempo um herói e um homem comum. Atuante na militância em boa parte da vida, agora ele terá que enfrentar o mesmo que seu pai enfrentou: o seu filho Luca (Chay Suede) pretende deixar a faculdade de Medicina e ingressar de vez no movimento hippie. Em um crescente conflito com as escolhas do filho, ele verá seu passado sendo reiventado na figura dele."
